fold,silhouette,calinski_harabasz,davies_bouldin
1,0.36089699030163025,123.5950378102824,1.0799624702679074
2,0.34560924088321565,126.45266776025332,1.1213465682862849
3,0.34777976334450345,90.98653427151001,1.1400992070861387
4,0.3485998151335386,46.30727694410476,1.1845810340538019
5,0.34962414763845434,116.99690277767577,1.1031220531219381
6,0.35573740690714645,120.94626585611405,1.094569019949908
7,0.36433776034468257,129.41273673484588,1.0469268383294714
8,0.34864284529888095,107.17441454844212,1.1095940501906734
9,0.350451015116387,123.32734525654449,1.0872021672641934
10,0.35485134839105725,110.75873041938142,1.0934218414359156
