fold,silhouette,calinski_harabasz,davies_bouldin
1,0.28965010743075836,76.53568224486244,1.268704791124456
2,0.30355466074939597,92.41926060177899,1.3396142787295287
3,0.3011532410847093,94.63135450735811,1.1857267504672147
4,0.2831096484509946,45.63779596484021,1.26035794147731
5,0.29218794348664173,90.55486859953707,1.2360112396835363
6,0.3423793486913856,105.2529734350709,1.19262605418748
7,0.3281192193770819,106.60307274635026,1.1257037707544708
8,0.3165230614181214,99.84713510479114,1.1329891673738628
9,0.28081645923725584,93.35910306597518,1.3487934712119765
10,0.30764425868345685,90.80346519080936,1.209320830830145
