fold,silhouette,calinski_harabasz,davies_bouldin
1,0.2647993991373257,103.64044953074973,1.3514211402782372
2,0.2567686846979403,106.25281286334216,1.425824526239655
3,0.2545254067686091,85.32082589787461,1.3739675054413916
4,0.2800566303949127,65.55606635017813,1.3663881236839235
5,0.27411763987436477,105.3607226031442,1.4078036064512836
6,0.29271072909519735,126.54016798904183,1.2775910155318513
7,0.26360169651878684,105.42650418287585,1.3640610427417397
8,0.2527341245325308,89.11816827180566,1.4914562585770244
9,0.2960285845799991,127.45461890682651,1.2712198420736784
10,0.2610867899899234,92.17372177803192,1.3494139269060303
